"statvalue","noinstances"
"Q1074",9
"Q107400",8
"Q1074009",15
"Q1074069",1
"Q1074076",325
"Q1074090",1
"Q1074121",1
"Q1074158",16
"Q1074173",1
"Q10742",6
"Q107425",130
"Q107427",4
"Q1074328",1
"Q10743690",1
"Q107444",5
"Q1074523",27
"Q1074539",1
"Q1074550",1
"Q1074808",1
"Q1074814",15
"Q1074821",1
"Q10748583",244
"Q1074920",1
"Q1074953",1
"Q1074955",53
"Q1075",275
"Q1075009",1
"Q1075106",48
"Q10751930",12
"Q10751953",20
"Q1075238",2
"Q1075310",18
"Q1075347",13
"Q1075388",2
"Q1075404",2
"Q1075405",99
"Q1075520",3
"Q1075546",12
"Q1075561",9
"Q1075597",2
"Q10756188",7
"Q1075651",1
"Q1075664",16
"Q1075670",35
"Q1075912",2
"Q1075929",1
"Q107602",1
"Q1076022",5
"Q1076052",2819
"Q1076099",9
"Q1076105",259
"Q1076124",1
"Q1076157",1
"Q1076223",9
"Q1076291",267
"Q1076329",1
"Q1076389",4
"Q1076486",5214
"Q1076502",1
"Q1076513",11
"Q1076547",9
"Q1076566",47
"Q1076579",208
"Q1076596",1
"Q1076664",2
"Q1076785",3
"Q107679",528
"Q1076809",1
"Q107685",1
"Q1076874",1
"Q1076882",3
"Q1076968",2
"Q1076970",17
"Q107706",3
"Q1077064",28
"Q1077067",6
"Q1077079",1
"Q1077097",5644
"Q107711",7
"Q1077135",8
"Q107715",195
"Q1077209",1
"Q1077309",1
"Q1077333",1
"Q1077388",3
"Q10774753",1
"Q1077480",12
"Q107749",2
"Q1077701",13
"Q1077784",26
"Q1077817",24
"Q1077857",8
"Q10779529",1
"Q1077965",16
"Q1078001",12
"Q1078003",2
"Q10781974",11
"Q1078222",1
"Q1078286",9
"Q1078334",52
"Q1078374",1
"Q1078597",1
"Q10786901",5
"Q1078765",767
"Q107885",1
"Q1078850",1
"Q1078913",3
"Q1079023",571
"Q1079190",26
"Q1079196",23
"Q10796151",1
"Q107968",51
"Q1079693",13
"Q10798",9
"Q108",107
"Q10800557",4
"Q10801",2
"Q1080137",3
"Q1080224",24
"Q1080406",5
"Q1080415",4
"Q1080427",2
"Q1080438",12
"Q1080794",2291
"Q1081004",2
"Q10811",20
"Q1081138",1886
"Q1081248",42
"Q108149",1
"Q1081491",19
"Q108158",4
"Q10816",19
"Q108163",11
"Q10817602",5
"Q10817984",1
"Q108200",2
"Q108212",2
"Q10824034",11
"Q10825495",1
"Q108256",4
"Q10827272",9
"Q10827799",4
"Q1082815",10
"Q10829188",7
"Q1082980",11
"Q108325",11361
"Q10832530",42
"Q10833314",44
"Q10836209",13
"Q1083662",6
"Q1083709",1
"Q1083752",1
"Q108376",1
"Q1084",16
"Q1084059",1
"Q1084127",1
"Q108429",1
"Q10842936",6
"Q10843263",1
"Q10843402",1
"Q10843743",1
"Q10843872",64
"Q108458",2
"Q10845930",1
"Q1085001",1
"Q10853917",2
"Q10854295",1
"Q10854310",99
"Q10854651",2
"Q10855207",1
"Q10855217",1
"Q10855220",1
"Q10855222",5
"Q10855227",4
"Q10855239",26
"Q10855242",4164
"Q10855632",1
"Q10856",2
"Q10856065",1
"Q10856569",9
"Q10856962",223
"Q10857288",5
"Q10857997",1
"Q10858068",1
"Q10858537",2
"Q1085860",34
"Q10859263",1
"Q10859422",2
"Q1086",1
"Q10860417",1
"Q10860491",1
"Q10860585",3
"Q10860855",1
"Q10861030",1
"Q10861387",1
"Q10861465",2
"Q10861631",1
"Q10861654",1
"Q10861807",3
"Q10862618",169
"Q108640",1
"Q10864031",1
"Q10864048",53
"Q1086618",1
"Q10866633",2
"Q108689",26
"Q10868922",61
"Q108696",42
"Q10869909",1
"Q1087",1
"Q10870555",6631
"Q108709",29
"Q10871364",20
"Q10871684",1
"Q10871933",1
"Q10871971",4
"Q10871996",91
"Q10872094",2
"Q1087219",2
"Q10872571",7
"Q10873124",18
"Q10873938",1
"Q10873959",11
"Q10874184",27
"Q10874534",1
"Q1087471",2
"Q10875653",1
"Q10876",9
"Q1087624",8
"Q10876319",8
"Q10876320",16
"Q10876391",298
"Q108766",2
"Q1087786",48
"Q10877961",1
"Q1087850",7
"Q10878611",2
"Q1087985",1
"Q10879990",3
"Q1088090",1
"Q1088102",7
"Q1088157",12
"Q10882175",2
"Q10882176",1074
"Q10882833",9
"Q10882966",7
"Q10883050",1
"Q1088391",1
"Q10884",424
"Q1088426",1
"Q1088444",2
"Q10884441",1
"Q1088552",269
"Q10886053",1
"Q1088652",21
"Q10886944",2
"Q1088701",1
"Q108874",2
"Q1088759",24
"Q10888408",1
"Q1088843",1
"Q1088910",3
"Q1088927",11
"Q1088950",3
"Q1089",1
"Q10891593",1
"Q10892",2
"Q1089246",11
"Q1089520",18
"Q1089579",12
"Q1089665",8
"Q1089710",2
"Q10898410",1
"Q1089881",9
"Q109",75
"Q1090",1
"Q10901350",2
"Q1090212",1
"Q10905949",1
"Q1090674",5
"Q1090806",11
"Q1090817",1
"Q10908676",1
"Q1090946",9
"Q1091",2
"Q1091037",2
"Q109108",230
"Q10910840",90
"Q10911316",2
"Q1091176",1
"Q10911908",1
"Q1091245",1
"Q10913558",3
"Q1091366",349
"Q1091382",1
"Q10915529",30
"Q10915943",4
"Q10916116",14
"Q10917675",1
"Q1091880",1
"Q10920105",1
"Q1092177",1
"Q10924689",2
"Q1092499",3
"Q10925",3
"Q10926413",230
"Q10926511",17
"Q1092661",12
"Q10927576",5
"Q1092777",2
"Q10927834",4
"Q1092832",5
"Q1092846",1
"Q1092852",1
"Q1092864",2
"Q1092873",3
"Q1092875",1
"Q1092879",6
"Q1092899",7
"Q1092939",224
"Q1092993",5
"Q10931",56
"Q1093390",1
"Q1093434",2
"Q1093436",25
"Q1093580",442
"Q1093720",1
"Q1093829",224
"Q109391",10
"Q1093954",38
"Q1094",1
"Q109406",4
"Q109411",8
"Q1094196",69
"Q1094294",2
"Q10943",619
"Q10943038",1
"Q1094374",2
"Q1094397",2
"Q1094528",1
"Q1094545",1
"Q1094617",403
"Q1094654",3
"Q1094707",1
"Q1094729",5
"Q10947886",1
"Q1095126",1
"Q1095194",2
"Q1095271",5
"Q10953985",1
"Q10956917",3
"Q10957598",1
"Q10959434",1
"Q1096",1
"Q1096065",13
"Q109607",1526
"Q1096365",1
"Q1096695",1
"Q1096752",1
"Q10968259",1
"Q1096885",3
"Q1096907",3
"Q1096926",1
"Q10971235",10
"Q10971443",2
"Q1097273",1
"Q10972966",18
"Q1097498",10
"Q1097630",1
"Q1097739",1
"Q10977433",1
"Q1097775",3
"Q10978",9
"Q1097949",5
"Q1098",1
"Q10980",10
"Q1098165",1
"Q1098174",5
"Q10983451",21
"Q109856",1
"Q1098590",5
"Q1098652",2
"Q10987",2
"Q10988737",1
"Q10988986",3
"Q10990",9
"Q1099034",1
"Q1099055",5
"Q10991973",2
"Q10992055",1
"Q10992387",2
"Q109940",37
"Q1099545",4
"Q10997658",1
"Q10998",14
"Q110",238
"Q11000047",29
"Q11002",4
"Q11003111",1
"Q11004",247
"Q11006250",1
"Q110079",1
"Q11009",7
"Q11009654",2
"Q11012",113
"Q11014137",1
"Q110145",40
"Q11016",134
"Q110176",1
"Q11019",119
"Q1102",1
"Q11022",3
"Q11022340",1
"Q11022655",1
"Q11023",26
"Q11024",11
"Q11025270",1
"Q11028",9
"Q11030",6
"Q11032",15002
"Q1103285",84
"Q11033",20
"Q11034",27
"Q1103464",3
"Q1103487",1
"Q11035",15
"Q1103699",3
"Q1103804",4
"Q1103825",14
"Q1103842",1
"Q11038979",4
"Q1104030",1
"Q1104034",5
"Q1104185",1
"Q11042",41
"Q1104354",1
"Q1104430",4
"Q11046844",1
"Q1104719",1
"Q11047409",2
"Q1104947",13
"Q11051",2
"Q11051391",1
"Q11053",5
"Q1105339",1
"Q11054563",1
"Q1105707",1
"Q11059426",1
"Q11060274",9333
"Q1106104",1
"Q11063",51
"Q1106393",1
"Q11064553",1
"Q110660",25
"Q11066204",1
"Q1107",661
"Q11071039",1
"Q11072992",4
"Q1107393",3
"Q11074464",1
"Q11075207",3
"Q11076354",21
"Q1107641",1
"Q1107656",960
"Q1107679",225
"Q11077005",1
"Q11077163",3
"Q11078958",49
"Q11079271",2
"Q11079470",73
"Q11079823",9
"Q11079898",1
"Q11081100",1
"Q11081538",1
"Q11082098",1
"Q11082837",5
"Q11083119",7
"Q11083290",1
"Q11083590",2
"Q11083650",1
"Q11086086",1
"Q11086465",3
"Q11086742",394
"Q11086745",2
"Q110874",9
"Q11087449",41
"Q1108818",1
