s,g1
http://www.wikidata.org/entity/Q1093406,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#DesignedArtifact
http://www.wikidata.org/entity/Q3045969,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#DesignedArtifact
http://www.wikidata.org/entity/Q1428161,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#DesignedArtifact
http://www.wikidata.org/entity/Q1260928,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#DesignedArtifact
http://www.wikidata.org/entity/Q6534943,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#DesignedArtifact
http://www.wikidata.org/entity/Q5513248,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#DesignedArtifact
http://www.wikidata.org/entity/Q1444512,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#DesignedArtifact
http://www.wikidata.org/entity/Q948200,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#DesignedArtifact
http://www.wikidata.org/entity/Q7041077,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#DesignedArtifact
http://www.wikidata.org/entity/Q153544,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#DesignedArtifact
http://www.wikidata.org/entity/Q3288790,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#DesignedArtifact
http://www.wikidata.org/entity/Q178930,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#DesignedArtifact
http://www.wikidata.org/entity/Q901519,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#DesignedArtifact
http://www.wikidata.org/entity/Q450353,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#DesignedArtifact
http://www.wikidata.org/entity/Q814002,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#DesignedArtifact
http://www.wikidata.org/entity/Q861126,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#DesignedArtifact
http://www.wikidata.org/entity/Q1094707,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#FunctionalSubstance
http://www.wikidata.org/entity/Q513532,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#FunctionalSubstance
http://www.wikidata.org/entity/Q846849,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#FunctionalSubstance
http://www.wikidata.org/entity/Q275650,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#FunctionalSubstance
http://www.wikidata.org/entity/Q5503624,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#FunctionalSubstance
http://www.wikidata.org/entity/Q1280741,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#FunctionalSubstance
http://www.wikidata.org/entity/Q5116250,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#FunctionalSubstance
http://www.wikidata.org/entity/Q17111414,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Concept
http://www.wikidata.org/entity/Q2405145,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Collective
